date,app_booking hour,Surge factor
20240219,10:00:00,1.311377246
20240219,11:00:00,1.382513661
20240219,12:00:00,1.386740331
20240219,13:00:00,1.350877193
20240219,14:00:00,1.32
20240219,15:00:00,1.148325359
20240219,16:00:00,1.377142857
20240219,17:00:00,1.322404372
20240219,18:00:00,1.367231638
20240219,19:00:00,1.337278107
20240219,20:00:00,1.325153374
20240219,21:00:00,1.359477124
20240219,22:00:00,1.360544218
20240219,23:00:00,1.359477124
20240220,00:00:00,1.353741497
20240220,06:00:00,1.346405229
20240220,07:00:00,1.337423313
20240220,08:00:00,1.365269461
20240220,09:00:00,1.369426752
20240220,10:03:00,1.402234637
20240220,11:00:00,1.35078534
20240220,12:00:00,1.401069519
20240220,13:00:00,1.335195531
20240220,14:04:00,1.36416185
20240220,15:00:00,1.398907104
20240220,16:00:00,1.356756757
20240220,17:00:00,1.342541436
20240220,18:00:00,1.306010929
20240220,19:00:00,1.36416185
20240220,20:00:00,1.374193548
20240220,21:00:00,1.409395973
20240220,22:01:00,1.380952381
20240220,23:00:00,1.390728477
20240221,00:00:00,1.372413793
20240214,06:00:00,1.351238635
20240214,07:00:01,1.383538603
20240214,08:00:00,1.349187285
20240214,09:00:00,1.406237075
20240214,10:01:00,1.40776304
20240214,11:00:00,1.403694361
20240214,12:00:00,1.36338561
20240214,13:00:00,1.383350964
20240214,14:19:00,1.385218993
20240214,15:00:00,1.344905778
20240214,16:00:00,1.368363437
20240214,17:03:00,1.374239741
20240214,18:00:00,1.356660983
20240214,19:00:00,1.391143056
20240214,20:00:00,1.351564347
20240214,21:00:00,1.3692049
20240214,22:00:00,1.415210436
20240214,23:00:00,1.391675025
20240215,00:00:00,1.440508312
20240215,06:00:00,1.396248633
20240215,07:00:00,1.368149165
20240215,08:00:00,1.373208423
20240215,09:00:00,1.415900399
20240215,10:00:00,1.447596989
20240215,11:00:00,1.432175116
20240215,12:01:00,1.394908976
20240215,13:01:00,1.434648428
20240215,14:00:00,1.402789818
20240215,15:00:00,1.386130749
20240215,16:05:00,1.413932798
20240215,17:01:00,1.363740545
20240215,18:01:00,1.387519903
20240215,19:00:00,1.331959673
20240215,20:00:00,1.373734202
20240215,21:00:00,1.398045913
20240215,22:00:00,1.432175116
20240215,23:02:00,1.398777117
20240216,00:10:00,1.441149597
20240216,06:01:00,1.372091083
20240216,07:00:00,1.397114021
20240216,08:00:00,1.313155577
20240216,09:00:00,1.354610499
20240216,10:01:00,1.420615062
20240216,11:01:00,1.41790452
20240216,12:00:00,1.378187306
20240216,13:00:00,1.415210436
20240216,14:00:00,1.453278885
20240216,15:00:00,1.378187306
20240216,16:01:00,1.411831719
20240216,17:00:00,1.382159028
20240216,18:00:00,1.40503503
20240216,19:00:00,1.362691508
20240216,20:01:00,1.384901854
20240216,21:02:00,1.396539685
20240216,22:00:00,1.353400561
20240216,23:06:00,1.445753357
20240217,00:03:00,1.469972359
20240217,06:05:00,1.426167065
20240217,07:20:00,1.448312517
20240217,08:00:00,1.457916268
20240217,09:02:00,1.510140134
20240217,10:00:00,1.483339
20240217,11:00:00,1.439822791
20240217,12:00:00,1.419969078
20240217,13:00:00,1.40167708
20240217,14:00:00,1.453978422
20240217,15:00:00,1.456231028
20240217,16:00:00,1.431618673
20240217,17:00:00,1.460973444
20240217,18:00:00,1.435830318
